Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Man Who Killed Don Quixote,"Adventure, Comedy, Drama, Fantasy",0,3.1,1.0,6.4,64.0,58.0,4.0,7.0,391963.0,1606521600,16212.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
True History of the Kelly Gang,"Biography, Crime, Drama, Western",0,4.6,5.0,6.0,79.0,75.0,6.0,13.0,33817.0,1606521600,7968.0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Widows,"Crime, Drama, Thriller",0,4.1,5.0,6.9,91.0,84.0,18.0,94.0,42402632.0,1606521600,87559.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Wretched,Horror,0,3.2,3.0,5.8,75.0,61.0,4.0,4.0,1814193.0,1606521600,10850.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Im Standing on a Million Lives,"Action, Adventure, Fantasy, Sci-Fi",1,2.8,1.0,6.5,52.0,51.0,26.0,69.0,474544677.0,1606435200,733336.0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Motherless Brooklyn,"Crime, Drama, Mystery",0,3.2,5.0,6.8,63.0,60.0,2.0,15.0,9277736.0,1606435200,44513.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Action, Adventure, Comedy, Crime",0,3.3,3.0,6.1,78.0,60.0,5.0,38.0,84158461.0,1606435200,168176.0,17,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billionaire Boys Club,"Biography, Drama, Thriller",0,1.6,3.0,5.6,7.0,30.0,1.0,0.0,1349.0,1606435200,11274.0,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Animals,"Biography, Crime, Drama, History, Thriller",0,3.8,3.0,7.0,88.0,68.0,10.0,21.0,2856954.0,1606435200,38839.0,17,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Call,"Crime, Drama, Horror, Thriller",0,2.7,3.0,6.7,44.0,51.0,1.0,11.0,51872378.0,1606435200,113200.0,17,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Whose Streets?,Documentary,0,8.2,3.0,5.4,98.0,79.0,2.0,18.0,182799.0,1606003200,1230.0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemini Man,"Action, Drama, Sci-Fi, Thriller",0,2.0,3.0,5.7,26.0,38.0,1.0,5.0,48546770.0,1605830400,86715.0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
A Guy & A Girl,"Comedy, Romance",0,2.5,3.0,6.4,42.0,45.0,1.0,8.0,105813373.0,1605225600,212311.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Liberator,"Biography, Drama, History",1,5.1,1.0,6.8,38.0,51.0,1.0,3.0,113067.0,1605139200,5038.0,17,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Hero,"Drama, Romance, Western",0,4.3,3.0,6.5,78.0,61.0,2.0,6.0,4077333.0,1605052800,8137.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Girls Revenge,"Drama, Mystery, Thriller",0,4.1,3.0,8.1,87.0,79.0,64.0,187.0,167767189.0,1604707200,863582.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Paranormal,"Horror, Mystery",1,3.6,1.0,6.3,83.0,68.0,3.0,12.0,107918810.0,1604534400,220740.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The War of the Roses,"Comedy, Romance",0,3.9,3.0,6.9,85.0,79.0,2.0,9.0,86888546.0,1604534400,48270.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harriet,"Action, Biography, Drama, History",0,3.4,5.0,6.6,73.0,66.0,23.0,50.0,43082155.0,1604534400,19939.0,13,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dolittle,"Adventure, Comedy, Family, Fantasy",0,1.6,3.0,5.6,14.0,26.0,1.0,1.0,77047065.0,1604534400,48589.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Love & Anarchy,"Drama, Romance",1,2.5,1.0,6.1,40.0,51.0,2.0,1.0,249083.0,1604534400,48843.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Mermaid,"Comedy, Drama, Fantasy, Romance",0,4.6,3.0,6.2,95.0,69.0,8.0,13.0,3232685.0,1604448000,8284.0,17,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Night Shift,Comedy,0,3.7,3.0,6.6,92.0,62.0,1.0,0.0,21095638.0,1604448000,14123.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTHER,"Crime, Drama, Mystery, Thriller",0,4.2,5.0,7.8,96.0,79.0,44.0,46.0,551509.0,1604448000,53293.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Evil,Drama,1,3.5,1.0,7.8,68.0,61.0,9.0,10.0,15530.0,1604361600,35722.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raising Victor Vargas,"Drama, Romance",0,6.6,3.0,7.2,96.0,83.0,4.0,14.0,2078661.0,1604361600,5244.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tortilla Soup,"Comedy, Romance, Drama",0,6.1,3.0,6.7,74.0,58.0,2.0,7.0,4467615.0,1604361600,4423.0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Hummingbird Project,"Drama, Thriller",0,2.9,3.0,6.2,57.0,58.0,2.0,5.0,371784.0,1604361600,12037.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amandla! A Revolution in Four Part Harmony,"Documentary, History, Music",0,8.6,3.0,7.4,83.0,78.0,11.0,7.0,405331.0,1604361600,562.0,13,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sleeper,"Comedy, Sci-Fi",0,4.2,3.0,7.2,100.0,77.0,2.0,2.0,18344729.0,1604188800,39767.0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Mountain Between Us,"Action, Adventure, Drama, Romance, Thriller",0,2.5,3.0,6.4,38.0,48.0,2.0,1.0,30348555.0,1604188800,67847.0,13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Im Not Ready for Christmas,"Action, Adventure, Fantasy, Sci-Fi",0,2.8,3.0,6.5,52.0,51.0,26.0,69.0,474544677.0,1604188800,733336.0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1917,"Drama, Thriller, War",0,4.2,3.0,8.3,89.0,78.0,123.0,180.0,159227644.0,1604188800,430438.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
The Queens Gambit,"Biography, Drama, History",1,4.3,1.0,7.3,96.0,91.0,96.0,97.0,56441711.0,1603411200,104495.0,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Im losing it,"Action, Adventure, Fantasy, Sci-Fi",0,2.8,3.0,6.5,52.0,51.0,26.0,69.0,474544677.0,1603324800,733336.0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Bending the Arc,Documentary,0,9.2,3.0,7.7,100.0,80.0,1.0,1.0,21907.0,1603238400,188.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crew,"Comedy, Crime",0,4.7,5.0,5.7,20.0,37.0,1.0,0.0,13023075.0,1602028800,4473.0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Boy,Drama,0,4.0,3.0,7.3,94.0,73.0,10.0,37.0,3012615.0,1601942400,28105.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotlight,"Biography, Crime, Drama",1,4.5,1.0,8.1,97.0,93.0,124.0,143.0,45055776.0,1601683200,422721.0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judy,"Biography, Drama, Romance",0,3.6,3.0,6.8,81.0,66.0,23.0,61.0,24313888.0,1601683200,41429.0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
